dataset,config,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
scaling,fixed-grid,42,2.4631639945882764,2.5754405269353295,0.8785007973856395,0.8742409522999997,1.2342089271084604,1.2792471704934674,4.406026300042868,0.009019800054375082
scaling,adaptive-grid,42,2.3732077913885434,2.545727013008112,0.8829380199916032,0.8756918664936013,1.2144685471600332,1.265648319409111,4.977484900038689,0.0053860999760217965
scaling,fixed-grid,123,2.652539662822505,2.6060228876257034,0.8750374804341908,0.8733206491602628,1.2878063529379065,1.2778720833805497,3.1021142000099644,0.007548999972641468
scaling,adaptive-grid,123,2.578783875203141,2.6576442463169414,0.8785121538510132,0.8708113234595859,1.2677411264004768,1.297795226540723,5.264199400029611,0.005528499954380095
scaling,fixed-grid,456,3.1393796701825605,3.151983348493741,0.84720052563105,0.8492706704242527,1.4012623601741172,1.3951392161942167,2.552686500013806,0.003577499999664724
scaling,adaptive-grid,456,3.022150135132148,3.1266606558886605,0.8529063061412415,0.8504816135217919,1.3790427633812923,1.3808404909509986,4.0235370000009425,0.007119700021576136
scaling,fixed-grid,789,3.2318219999832465,3.2536110846303625,0.8524450447516725,0.8400858552457526,1.4200873135174048,1.442735706392091,1.9114230999839492,0.004597499966621399
scaling,adaptive-grid,789,3.4978958443031214,3.709107523459093,0.84029693938214,0.8176983228827146,1.4649753879721348,1.5223002169530535,2.8793814000091515,0.0036930000060237944
scaling,fixed-grid,1024,2.9827728568524603,3.228696069692327,0.8593407143551585,0.8419858275211684,1.358573258700261,1.4247840368975648,3.1320427000173368,0.005148500029463321
scaling,adaptive-grid,1024,3.194373053113672,3.362116883931561,0.8493622366510876,0.8354561390344247,1.4058682640762767,1.4461142659086184,4.42873739998322,0.005700899986550212
correlated,fixed-grid,42,0.2530431359959492,0.24474432078462652,0.9827703516997951,0.9835410247400317,0.4023215765747164,0.3913903132669992,3.339373400027398,0.005501400039065629
correlated,adaptive-grid,42,0.2511201316701746,0.24011433124555553,0.9829012886172597,0.9838523900172041,0.40076978509687416,0.3866970200366674,3.888022599974647,0.004384600033517927
correlated,fixed-grid,123,0.2513527593357231,0.27692306825046814,0.9828418480901926,0.9804425206469338,0.3981047698841266,0.4150308281769359,3.7570431000203826,0.016161499952431768
correlated,adaptive-grid,123,0.25078405083065014,0.27399638757176425,0.9828806699712344,0.9806492152257148,0.3984761083133963,0.4124390986430783,6.755589799955487,0.009638499992433935
correlated,fixed-grid,456,0.2576893514297046,0.24692069755654453,0.9829366099323261,0.9840938583521597,0.40491135912494963,0.3956715471655546,3.591663900006097,0.004835599975194782
correlated,adaptive-grid,456,0.2572397669625991,0.24882904641313192,0.9829663800221184,0.983970926303422,0.4039811540406934,0.3978858649362867,6.784850099997129,0.007514900004025549
correlated,fixed-grid,789,0.24949688522684782,0.2647564142834823,0.9838120751117864,0.9829258853689192,0.4005899934839405,0.41033945229368146,3.1880946999881417,0.013500600005500019
correlated,adaptive-grid,789,0.24763693151411997,0.2703085259598164,0.983932753135361,0.982567830243181,0.3992494348347893,0.41587875122121026,6.172786700015422,0.006938200036529452
correlated,fixed-grid,1024,0.24311155970751322,0.26406375513452884,0.9832933224530838,0.9825215603449684,0.39853477626065853,0.4143643032243748,4.266585899982601,0.00758869998389855
correlated,adaptive-grid,1024,0.2416677695551778,0.2605106597638274,0.9833925400162037,0.9827567405308812,0.396368631769166,0.4108427230326568,5.933922700001858,0.0060628000064753
