dataset,config,test_mse_mean,test_mse_std,test_r2_mean,fit_time_mean
correlated,adaptive-grid,0.25875179019081906,0.014272922205442129,0.9827594204640807,5.907034379988909
correlated,fixed-grid,0.25948165120193006,0.013490629108634838,0.9827049698906025,3.628552200004924
interaction,adaptive-grid,0.37353377447596386,0.0712644437883158,0.954544953900243,7.200559819978662
interaction,fixed-grid,0.38465771494399476,0.07081516692698275,0.9531712475200174,3.447699340013787
irrelevant,adaptive-grid,0.303508866562299,0.01513127424810641,0.9922376904834094,7.6498237200081345
irrelevant,fixed-grid,0.3030785447293147,0.018962657105547964,0.9922474467523722,4.547566460014787
regime,adaptive-grid,0.33652012904769635,0.04834913232960515,0.9108622699667837,7.76510592000559
regime,fixed-grid,0.35231661365295686,0.04634437758616379,0.9065955234018259,6.069112979993224
scaling,adaptive-grid,3.0802512645208737,0.48512243833623286,0.8500278530784235,4.314668020012323
scaling,fixed-grid,2.9631507834754927,0.3421983343803948,0.8557807909302871,3.020858560013585
