dataset,config,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
scaling,no-prune,42,2.4332435559359658,2.5014970441823148,0.8799766672205813,0.8778516207962767,1.2226017426877707,1.2461505266908661,8.753609100007452,0.03024550003465265
scaling,with-prune,42,2.4479193723697934,2.491871136829002,0.8792527608958938,0.8783216549241629,1.2297085326747024,1.251071099406262,11.513260799983982,0.017166299978271127
scaling,no-prune,123,2.655735375224059,2.6015051847582944,0.8748869287651232,0.8735402556991184,1.2861770220550355,1.27446327473243,8.226916000014171,0.006389899994246662
scaling,with-prune,123,2.6764581663573033,2.60751356617654,0.8739106673245344,0.8732481869451274,1.2895549241122826,1.2734986951045684,8.906525900005363,0.031315799977164716
scaling,no-prune,456,2.77033414212336,2.7895211239280986,0.865162661030359,0.8666037848683444,1.3083401945536561,1.3136036767941714,8.35458689997904,0.009716800006572157
scaling,with-prune,456,2.776017496460765,2.7545646636807346,0.8648860415556086,0.8682754192759133,1.310899185133371,1.3047248408578607,8.075179800041951,0.00465809996239841
scaling,no-prune,789,3.551356071824572,3.7287104455264366,0.8378561114282694,0.8167348443244161,1.4723596680292834,1.5311501371026115,2.2654405000503175,0.004561700043268502
scaling,with-prune,789,3.551356071824572,3.7287104455264366,0.8378561114282694,0.8167348443244161,1.4723596680292834,1.5311501371026115,2.3159015999990515,0.010283300012815744
scaling,no-prune,1024,3.244091860418409,3.387088831076994,0.8470176357531238,0.8342339981211282,1.4163455467381136,1.4570299524638999,3.136994800006505,0.0017916999640874565
scaling,with-prune,1024,3.273817032894393,3.4075388808532217,0.8456158791572315,0.8332331613675933,1.4221049616775898,1.4604924178499314,3.006944399967324,0.0020662000169977546
correlated,no-prune,42,0.2537786901184708,0.24671391004872073,0.9827202679906009,0.9834085705083416,0.4029490731337352,0.39318925755837897,3.0394279999891296,0.006433499976992607
correlated,with-prune,42,0.25520745440265796,0.23660489882803615,0.9826229837626627,0.9840883981956627,0.40419417152166803,0.383115864565453,3.1671483000391163,0.0023590000346302986
correlated,no-prune,123,0.2544159387855261,0.26893665932214594,0.9826327455584933,0.9810065546535899,0.4029428692889129,0.4088844117918255,3.5672780000022613,0.00650570000289008
correlated,with-prune,123,0.2591009907336951,0.2649243592244188,0.9823129287669671,0.9812899202713962,0.40473988701981256,0.4057431239302415,4.172786900016945,0.0017091999761760235
correlated,no-prune,456,0.2650508161912017,0.2558625893538921,0.9824491565548469,0.9835178394159759,0.411045891824298,0.4025237848620767,3.7437810999690555,0.007001199992373586
correlated,with-prune,456,0.2658201809785147,0.24425485990959842,0.9823982116035036,0.9842655863265339,0.41199668134595563,0.39629434050537105,3.8766620999667794,0.0020517000230029225
correlated,no-prune,789,0.25217495719380334,0.27151421155391936,0.9836383157167267,0.9824900757000155,0.4025090608658428,0.4158927425735479,3.5184361999854445,0.005882600031327456
correlated,with-prune,789,0.2525182799800038,0.2632284812445139,0.9836160401541665,0.983024421617518,0.40239337643979023,0.4105380518441594,4.325998599990271,0.0015511999954469502
correlated,no-prune,1024,0.24657143002154214,0.27012192721910677,0.9830555594369599,0.9821205685649865,0.4003866108190037,0.4194331550191467,4.795407800003886,0.1865512999938801
correlated,with-prune,1024,0.24830355694350342,0.2554570606069096,0.9829365273103495,0.9830912394016555,0.40153037770011285,0.4093548801586726,4.0555194999906234,0.0015824000001884997
irrelevant,no-prune,42,0.2597755843696061,0.3285863738209014,0.9933454699419973,0.99171749979038,0.4039252795061016,0.45494917082459985,6.362129899964202,0.005494899989571422
