dataset,config,test_mse_mean,test_mse_std,test_r2_mean,fit_time_mean
correlated,no-prune,0.262629859499557,0.010885218260195383,0.982508721768582,3.7328662199899556
correlated,with-prune,0.2528939319626954,0.012227733680095563,0.9831519131625533,3.919623080000747
interaction,no-prune,0.3882899531200904,0.09298163922937903,0.9527539317613927,6.102913999999873
interaction,with-prune,0.38897631527843973,0.09297070152027127,0.9526760504248685,5.829957340005786
irrelevant,no-prune,0.31559497153849014,0.012014863796269338,0.9919257790529443,6.733131039992441
irrelevant,with-prune,0.3103414644940645,0.011216690503763014,0.992052660291159,7.4308480399893595
regime,no-prune,0.33117257934351974,0.026276864320690162,0.9122328461720126,4.299545300018508
regime,with-prune,0.3254491234348538,0.029394673557794633,0.9137388918571265,4.601043040014337
scaling,no-prune,3.0016645258944274,0.5320825817806872,0.8537929007618568,6.147509460011497
scaling,with-prune,2.998039738613187,0.5407325323900833,0.8539626533674426,6.7635624999995345
