dataset,config,test_mse_mean,test_mse_std,test_r2_mean,fit_time_mean
correlated,no-std,0.25948165120193006,0.013490629108634838,0.9827049698906025,3.306329279975034
correlated,with-std,0.25948165120193006,0.013490629108634838,0.9827049698906025,3.5390612600021996
interaction,no-std,0.38465771494399476,0.07081516692698275,0.9531712475200174,3.4010722400038502
interaction,with-std,0.38465771494399476,0.07081516692698275,0.9531712475200174,3.536837699986063
irrelevant,no-std,0.3030785447293147,0.018962657105547964,0.9922474467523722,4.855812920001336
irrelevant,with-std,0.3030785447293147,0.018962657105547964,0.9922474467523722,4.956033459980972
regime,no-std,0.35191678024647655,0.04571132526865788,0.9067041362874446,4.075222439994104
regime,with-std,0.35231661365295686,0.04634437758616379,0.9065955234018259,3.923285640019458
scaling,no-std,1.7194176632905278,0.10758912841023897,0.9163147716795516,3.1644896400044673
scaling,with-std,2.9631507834754927,0.3421983343803948,0.8557807909302871,3.0653932200046254
