dataset,config,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
scaling,top-1,42,4.502729850336253,4.572871577007751,0.7778961987079633,0.7767061717153237,1.6702466791444601,1.6867941805583277,0.04807706200517714,0.0002866879804059863
scaling,top-2,42,3.453877676541914,3.788781444564392,0.829632381542859,0.8149933801892781,1.457684727544865,1.5436083032424717,0.0956967230886221,0.00029196892865002155
scaling,top-3,42,2.4631639945882764,2.5754405269353295,0.8785007973856395,0.8742409522999997,1.2342089271084602,1.2792471704934674,0.18750218499917537,0.00040877796709537506
scaling,top-5,42,1.644616488546209,1.6740089306543502,0.9188768622780253,0.918257957518864,1.00651337680437,1.0029817635294083,0.32430172606837004,0.00040832709055393934
scaling,top-1,123,3.9196623530373067,4.039420906244711,0.8153426731566404,0.8036428534064974,1.5575337153158397,1.558125006456209,0.05030347499996424,0.0003009560750797391
scaling,top-2,123,3.4528803020892354,3.425439132636068,0.8373330177279631,0.8334886436631732,1.4644766887246856,1.45200020431747,0.08782934991177171,0.00026629003696143627
scaling,top-3,123,2.652539662822505,2.6060228876257034,0.8750374804341908,0.8733206491602628,1.2878063529379065,1.2778720833805495,0.19087216793559492,0.00037751905620098114
scaling,top-5,123,1.626889927375044,1.716081315350813,0.9233563715444335,0.9165809064651366,0.993901620571351,1.0084219016659264,0.3271548569900915,0.00045292102731764317
scaling,top-1,456,4.253771017565567,4.256124661556971,0.7929610165526442,0.7964701123393133,1.6313134936643394,1.6255747688457298,0.05758320493623614,0.0002854469930753112
scaling,top-2,456,3.3599038404796278,3.2946217262236877,0.8364672022209887,0.8424496359612118,1.444573031745843,1.428396736211644,0.11446898896247149,0.00031847902573645115
scaling,top-3,456,3.1393796701825605,3.1519833484937414,0.84720052563105,0.8492706704242527,1.4012623601741172,1.3951392161942167,0.1663583240006119,0.00030860002152621746
scaling,top-5,456,1.7176272437541797,1.7504183362236168,0.9163998727200253,0.9162941700113475,1.0183987476122356,1.0384517479210293,0.2990975030697882,0.0003898420836776495
scaling,top-1,789,6.868364143183516,7.049336564899777,0.6864118247286161,0.6535269279152763,2.0896311331384054,2.113638645061994,0.042366110952571034,0.0002592970849946141
scaling,top-2,789,4.913566554872172,5.319007382618824,0.7756618114742704,0.7385721604677744,1.7643363811541362,1.8564192769895598,0.07682132394984365,0.00025603105314075947
scaling,top-3,789,3.2318219999832465,3.2536110846303625,0.8524450447516725,0.8400858552457526,1.4200873135174046,1.442735706392091,0.1239924340043217,0.00029362202621996403
