dataset,config,test_mse_mean,test_mse_std,test_r2_mean,fit_time_mean
correlated,top-1,0.2650835291365369,0.011760562905037502,0.9823439417917849,0.06192828076891601
correlated,top-2,0.2594101655095029,0.011270253792722342,0.982712062494147,0.11424023797735572
correlated,top-3,0.25948165120192995,0.013490629108634957,0.9827049698906025,0.17015426761936397
correlated,top-5,0.2594391344270428,0.012232517575885051,0.9827076187447628,0.2771119204116985
interaction,top-1,0.5282484023915284,0.10432918185966235,0.9354730105076158,0.051084545394405725
interaction,top-2,0.38465771494399476,0.07081516692698285,0.9531712475200174,0.12329914798028767
interaction,top-3,0.38465771494399476,0.07081516692698285,0.9531712475200174,0.18165172263979912
interaction,top-5,0.38465771494399476,0.07081516692698285,0.9531712475200174,0.29706522638443855
irrelevant,top-1,0.33609922475484455,0.024109190062638154,0.9914042303621589,0.08238626478705555
irrelevant,top-2,0.31010006022005393,0.023477639556426465,0.9920738680254958,0.15229744540993123
irrelevant,top-3,0.3030785447293146,0.018962657105547984,0.9922474467523722,0.2239447824191302
irrelevant,top-5,0.30441255601458617,0.019942089526472247,0.9922161485593726,0.36814614401664586
regime,top-1,2.4405537019431778,0.35663428091723526,0.355142773160469,0.0514614351792261
regime,top-2,0.3520269134968697,0.04577351995357121,0.9066743312028981,0.11371505800634622
regime,top-3,0.35231661365295686,0.04634437758616381,0.9065955234018259,0.16764984459150584
regime,top-5,0.3530141535632424,0.045942626969469554,0.9064128715917331,0.2741905431961641
scaling,top-1,5.1224183865297945,1.2515446477751888,0.7503324002759187,0.04859627336263657
scaling,top-2,3.869474114271862,0.8303233705018981,0.8114513040754835,0.09193019177764654
scaling,top-3,2.9631507834754927,0.3421983343803946,0.8557807909302871,0.16387596719432623
scaling,top-5,1.7194176632905278,0.10758912841023906,0.9163147716795516,0.3109928841935471
