experiment,dataset,model,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
main,scaling,Ridge,42,6.7513518237210794,6.313619491915642,0.6669795982105395,0.6917052572018454,2.063649715604969,2.0183178641041692,0.0008824248798191547,8.133286610245705e-05
main,scaling,CART,42,8.979770502371847,10.711964656354874,0.5570595550701428,0.47693357307602946,2.362005846518198,2.609111960190399,0.006914658937603235,0.0001293933019042015
main,scaling,RandomForest,42,5.989052319880553,6.876043871972531,0.7045811473048897,0.6642420120989256,1.8966313430733739,2.0390781325901246,0.44054064620286226,0.006710445042699575
main,scaling,GradientBoosting,42,0.30849743706854066,0.6326640116576989,0.9847829082047512,0.9691069458649814,0.440342308532704,0.6205924745485896,0.5192984039895236,0.001279669813811779
main,scaling,RHM (original),42,3.2874009814959355,3.28015866576698,0.8378440904450677,0.8398294871120052,1.4311819925120457,1.4165041659413127,0.19532792968675494,0.27222168212756515
main,scaling,"ACGMT (top1, no-std)",42,3.2874009814959355,3.2801586657669795,0.8378440904450677,0.8398294871120052,1.4311819925120457,1.4165041659413127,0.0677177719771862,0.0003806035965681076
main,scaling,"ACGMT (top3, std)",42,2.4631639945882764,2.5754405269353295,0.8785007973856395,0.8742409522999997,1.2342089271084602,1.2792471704934674,0.18727336404845119,0.00039654411375522614
main,scaling,ACGMT (full),42,2.4479193723697934,2.4918711368290025,0.8792527608958938,0.8783216549241629,1.2297085326747024,1.251071099406262,0.29772784700617194,0.0003165341913700104
main,scaling,Ridge,123,6.702918498271788,6.6909035004199096,0.6842220322929958,0.674753696143954,2.065101399682072,2.0201623850761794,0.0003098510205745697,3.6047305911779404e-05
main,scaling,CART,123,9.217610134465394,11.057347505068071,0.5657536047726915,0.4624998841711646,2.4076815007984296,2.6441081044496286,0.0044182357378304005,8.279504254460335e-05
main,scaling,RandomForest,123,6.105804910301753,7.049682865621435,0.7123523631851334,0.6573133515889487,1.9135868603172574,2.0713590362061383,0.2778062056750059,0.004017454106360674
main,scaling,GradientBoosting,123,0.3021275481663989,0.6818527967878688,0.9857666144720566,0.966854984246112,0.43655633028036345,0.6362521813682183,0.4398606321774423,0.0012090769596397877
main,scaling,RHM (original),123,2.729707329647104,2.8255218859832723,0.8714020716180392,0.8626507541436296,1.2896135587406874,1.3116751426752657,0.188997657969594,0.2731754807755351
main,scaling,"ACGMT (top1, no-std)",123,2.729707329647104,2.8255218859832723,0.8714020716180392,0.8626507541436296,1.2896135587406874,1.3116751426752657,0.06617174297571182,0.0003629508428275585
main,scaling,"ACGMT (top3, std)",123,2.652539662822505,2.6060228876257034,0.8750374804341908,0.8733206491602628,1.2878063529379065,1.2778720833805495,0.1929999440908432,0.00037645595148205757
main,scaling,ACGMT (full),123,2.6764581663573037,2.60751356617654,0.8739106673245344,0.8732481869451274,1.2895549241122826,1.2734986951045684,0.2904879502020776,0.000295453704893589
main,scaling,Ridge,456,6.968537079497421,6.443247317028028,0.660828279872939,0.6918808759410249,2.1126332040372335,2.0148182409810818,0.00031177373602986336,3.113783895969391e-05
main,scaling,CART,456,9.192165714955244,10.521944617350924,0.5526001194128367,0.4968356483341376,2.4098785967318825,2.585896130825003,0.004362601786851883,8.175289258360863e-05
main,scaling,RandomForest,456,6.262192385499494,6.786659217031851,0.6952073959101859,0.6754587569978376,1.9527701385007579,2.0447345258895364,0.278171441052109,0.003992356825619936
main,scaling,GradientBoosting,456,0.3036360603001028,0.5668310170123237,0.9852214656118301,0.9728938735612815,0.4391975920745223,0.5925346042158504,0.44085761392489076,0.00122828409075737
main,scaling,RHM (original),456,3.040273639842615,2.9605574208132857,0.8520242013038481,0.8584247485244683,1.352119615812284,1.355451962217912,0.19086485961452127,0.2748084641061723
main,scaling,"ACGMT (top1, no-std)",456,3.040273639842615,2.9605574208132857,0.8520242013038481,0.8584247485244683,1.352119615812284,1.355451962217912,0.0662158951163292,0.00040288595482707024
main,scaling,"ACGMT (top3, std)",456,3.1393796701825605,3.1519833484937414,0.84720052563105,0.8492706704242527,1.4012623601741172,1.3951392161942167,0.16582052130252123,0.0003103017807006836
main,scaling,ACGMT (full),456,2.776017496460765,2.7545646636807346,0.8648860415556086,0.8682754192759133,1.310899185133371,1.3047248408578604,0.26264119520783424,0.00027247099205851555
main,scaling,Ridge,789,6.951887283090692,6.914365810201268,0.682598417563473,0.6601607056603811,2.0978022901365923,2.0731508149658597,0.0003115241415798664,3.192014992237091e-05
main,scaling,CART,789,9.464100609578825,9.96760617221296,0.567898559413448,0.5100947301887866,2.4517910274618644,2.4937529741763718,0.004454585257917643,8.50302167236805e-05
main,scaling,RandomForest,789,6.4658340502634,6.571405747671981,0.7047900986085639,0.6770171041842585,1.981635852139243,2.0165000425994877,0.27869098586961627,0.004017625004053116
main,scaling,GradientBoosting,789,0.2885596676050962,0.5712480166149434,0.9868252617748865,0.9719233074748647,0.4290897570250335,0.6019927276373408,0.43953478429466486,0.0012591816484928131
main,scaling,RHM (original),789,2.8583148594614305,2.976472777333412,0.8694982207635051,0.8537071314945907,1.3229932300772376,1.3529576746296244,0.19268910214304924,0.2747851009480655
main,scaling,"ACGMT (top1, no-std)",789,2.8583148594614305,2.976472777333412,0.8694982207635051,0.8537071314945907,1.3229932300772376,1.3529576746296241,0.0666593280620873,0.00038047414273023605
main,scaling,"ACGMT (top3, std)",789,3.2318219999832465,3.2536110846303625,0.8524450447516725,0.8400858552457526,1.4200873135174046,1.442735706392091,0.1244361069984734,0.00029158685356378555
